TARCICA SUCHA;TD-28/E;TARCICA D･B;Extra;2,5-3,5;28;-;-;-;1;-;-;-;-;3 570,00 zｳ
;TD-28/I;TARCICA D･B;I;2,5-3,5;28;-;-;-;1;-;-;-;-;3 050,00 zｳ
;TD-28/II;TARCICA D･B;II;2,5-3,5;28;-;-;-;1;-;-;-;-;2 260,00 zｳ
;TD-28/III;TARCICA D･B;III;2,5-3,5;28;-;-;-;1;-;-;-;-;1 450,00 zｳ
;TDD-28/E;TARCICA D･B D｣UGA;Extra;4,5;28;-;-;-;1;-;-;-;-;3 250,00 zｳ
;TDD-28/I;TARCICA D･B D｣UGA;I;4,5;28;-;-;-;1;-;-;-;-;3 250,00 zｳ
;TDD-28/II;TARCICA D･B D｣UGA;II;4,5;28;-;-;-;1;-;-;-;-;2 460,00 zｳ
;TDD-28/III;TARCICA D･B D｣UGA;III;4,5;28;-;-;-;1;-;-;-;-;1 650,00 zｳ
;TD-38/E;TARCICA D･B;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;3 700,00 zｳ
;TD-38/I;TARCICA D･B;I;2,5-3,5;38;-;-;-;1;-;-;-;-;3 300,00 zｳ
;TD-38/II;TARCICA D･B;II;2,5-3,5;38;-;-;-;1;-;-;-;-;2 360,00 zｳ
;TD-38/III;TARCICA D･B;III;2,5-3,5;38;-;-;-;1;-;-;-;-;1 550,00 zｳ
;TD-50/E;TARCICA D･B;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;3 980,00 zｳ
;TD-50/I;TARCICA D･B;I;2,5-3,5;50;-;-;-;1;-;-;-;-;3 470,00 zｳ
;TD-50/II;TARCICA D･B;II;2,5-3,5;50;-;-;-;1;-;-;-;-;2 530,00 zｳ
;TD-50/III;TARCICA D･B;III;2,5-3,5;50;-;-;-;1;-;-;-;-;1 650,00 zｳ
;TDD-50/E;TARCICA D･B D｣UGA;Extra;4,5;50;-;-;-;1;-;-;-;-;4 180,00 zｳ
;TDD-50/I;TARCICA D･B D｣UGA;I;4,5;50;-;-;-;1;-;-;-;-;3 670,00 zｳ
;TDD-50/II;TARCICA D･B D｣UGA;II;4,5;50;-;-;-;1;-;-;-;-;2 730,00 zｳ
;TDD-50/III;TARCICA D･B D｣UGA;III;4,5;50;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TJ-28/E;TARCICA JESION;Extra;2,5-3,5;28;-;-;-;1;-;-;-;-;2 910,00 zｳ
;TJ-28/I;TARCICA JESION;I;2,5-3,5;28;-;-;-;1;-;-;-;-;2 220,00 zｳ
;TJ-28/II;TARCICA JESION;II;2,5-3,5;28;-;-;-;1;-;-;-;-;1 790,00 zｳ
;TJ-28/III;TARCICA JESION;III;2,5-3,5;28;-;-;-;1;-;-;-;-;880,00 zｳ
;TJD-28/E;TARCICA JESION D｣UGA;Extra;4,5;28;-;-;-;1;-;-;-;-;3 110,00 zｳ
;TJD-28/I;TARCICA JESION D｣UGA;I;4,5;28;-;-;-;1;-;-;-;-;2 420,00 zｳ
;TJD-28/II;TARCICA JESION D｣UGA;II;4,5;28;-;-;-;1;-;-;-;-;1 990,00 zｳ
;TJD-28/III;TARCICA JESION D｣UGA;III;4,5;28;-;-;-;1;-;-;-;-;1 080,00 zｳ
;TJ-38/E;TARCICA JESION;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;3 170,00 zｳ
;TJ-38/I;TARCICA JESION;I;2,5-3,5;38;-;-;-;1;-;-;-;-;2 480,00 zｳ
;TJ-38/II;TARCICA JESION;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TJ-38/III;TARCICA JESION;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zｳ
;TJ-50/E;TARCICA JESION;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;3 170,00 zｳ
;TJ-50/I;TARCICA JESION;I;2,5-3,5;50;-;-;-;1;-;-;-;-;2 480,00 zｳ
;TJ-50/II;TARCICA JESION;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TJ-50/III;TARCICA JESION;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zｳ
;TJD-50/E;TARCICA JESION D｣UGA;Extra;4,5;50;-;-;-;1;-;-;-;-;3 370,00 zｳ
;TJD-50/I;TARCICA JESION D｣UGA;I;4,5;50;-;-;-;1;-;-;-;-;2 680,00 zｳ
;TJD-50/II;TARCICA JESION D｣UGA;II;4,5;50;-;-;-;1;-;-;-;-;2 050,00 zｳ
;TJD-50/III;TARCICA JESION D｣UGA;III;4,5;50;-;-;-;1;-;-;-;-;1 180,00 zｳ
;TJ-65/E;TARCICA JESION;Extra;4,5;65;-;-;-;1;-;-;-;-;3 370,00 zｳ
;TJ-65/I;TARCICA JESION;I;4,5;65;-;-;-;1;-;-;-;-;2 680,00 zｳ
;TJ-65/II;TARCICA JESION;II;4,5;65;-;-;-;1;-;-;-;-;2 050,00 zｳ
;TJ-65/III;TARCICA JESION;III;4,5;65;-;-;-;1;-;-;-;-;1 180,00 zｳ
;TB-26/E;TARCICA BUK;Extra;2,5-3,5;26;-;-;-;1;-;-;-;-;1 800,00 zｳ
;TB-26/I;TARCICA BUK;I;2,5-3,5;26;-;-;-;1;-;-;-;-;1 450,00 zｳ
;TB-26/II;TARCICA BUK;II;2,5-3,5;26;-;-;-;1;-;-;-;-;1 250,00 zｳ
;TB-26/III;TARCICA BUK;III;2,5-3,5;26;-;-;-;1;-;-;-;-;750,00 zｳ
;TB-26/T;TARCICA BUK;Twar.;2,5-3,5;26;-;-;-;1;-;-;-;-;1 150,00 zｳ
;TB-38/E;TARCICA BUK;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;1 980,00 zｳ
;TB-38/I;TARCICA BUK;I;2,5-3,5;38;-;-;-;1;-;-;-;-;1 530,00 zｳ
;TB-38/II;TARCICA BUK;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1 330,00 zｳ
;TB-38/III;TARCICA BUK;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zｳ
;TB-38/T;TARCICA BUK;Twar.;2,5-3,5;38;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TB-50/E;TARCICA BUK;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;1 980,00 zｳ
;TB-50/I;TARCICA BUK;I;2,5-3,5;50;-;-;-;1;-;-;-;-;1 530,00 zｳ
;TB-50/II;TARCICA BUK;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1 330,00 zｳ
;TB-50/III;TARCICA BUK;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zｳ
;TB-50/T;TARCICA BUK;Twar.;2,5-3,5;50;-;-;-;1;-;-;-;;1 380,00 zｳ
;TBP-26/E;TARCICA BUK PARZONY;Extra;2,5-3,5;26;-;-;-;1;-;-;-;-;1 800,00 zｳ
;TBP-26/I;TARCICA BUK PARZONY;I;2,5-3,5;26;-;-;-;1;-;-;-;-;1 600,00 zｳ
;TBP-26/II;TARCICA BUK PARZONY;II;2,5-3,5;26;-;-;-;1;-;-;-;-;1 400,00 zｳ
;TBP-26/III;TARCICA BUK PARZONY;III;2,5-3,5;26;-;-;-;1;-;-;-;-;900,00 zｳ
;TBP-26/T;TARCICA BUK PARZONY;Twar.;2,5-3,5;26;-;-;-;1;-;-;-;-;1 300,00 zｳ
;TBP-38/E;TARCICA BUK PARZONY;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;2 190,00 zｳ
;TBP-38/I;TARCICA BUK PARZONY;I;2,5-3,5;38;-;-;-;1;-;-;-;-;1 680,00 zｳ
;TBP-38/II;TARCICA BUK PARZONY;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1 480,00 zｳ
;TBP-38/III;TARCICA BUK PARZONY;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zｳ
;TBP-38/T;TARCICA BUK PARZONY;Twar.;2,5-3,5;38;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TBP-50/E;TARCICA BUK PARZONY;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;2 190,00 zｳ
;TBP-50/I;TARCICA BUK PARZONY;I;2,5-3,5;50;-;-;-;1;-;-;-;-;1 680,00 zｳ
;TBP-50/II;TARCICA BUK PARZONY;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1 480,00 zｳ
;TBP-50/III;TARCICA BUK PARZONY;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zｳ
;TBP-50/T;TARCICA BUK PARZONY;Twar.;2,5-3,5;50;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TBP-80/I;TARCICA BUK PARZONY;I;2,5-3,5;80;-;-;-;1;-;-;-;-;1 880,00 zｳ
;TS-25/E;TARCICA SOSNA;Extra;05-mar;25;-;-;-;1;-;-;-;-;1 680,00 zｳ
;TS-25/I;TARCICA SOSNA;I;05-mar;25;-;-;-;1;-;-;-;-;1 300,00 zｳ
;TS-25/II;TARCICA SOSNA;II;05-mar;25;-;-;-;1;-;-;-;-;890,00 zｳ
;TS-25/III;TARCICA SOSNA;III;05-mar;25;-;-;-;1;-;-;-;-;680,00 zｳ
;TS-32/E;TARCICA SOSNA;Extra;05-mar;32;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TS-32/I;TARCICA SOSNA;I;05-mar;32;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TS-32/II;TARCICA SOSNA;II;05-mar;32;-;-;-;1;-;-;-;-;940,00 zｳ
;TS-32/III;TARCICA SOSNA;III;05-mar;32;-;-;-;1;-;-;-;-;750,00 zｳ
;TS-38/E;TARCICA SOSNA;Extra;3-4,3;38;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TS-38/I;TARCICA SOSNA;I;3-4,3;38;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TS-38/II;TARCICA SOSNA;II;3-4,3;38;-;-;-;1;-;-;-;-;940,00 zｳ
;TS-38/III;TARCICA SOSNA;III;3-4,3;38;-;-;-;1;-;-;-;-;750,00 zｳ
;TS-50/E;TARCICA SOSNA;Extra;4,3;50;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TS-50/I;TARCICA SOSNA;I;4,3;50;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TS-50/II;TARCICA SOSNA;II;4,3;50;-;-;-;1;-;-;-;-;940,00 zｳ
;TS-50/III;TARCICA SOSNA;III;4,3;50;-;-;-;1;-;-;-;-;750,00 zｳ
;TS-63/E;TARCICA SOSNA;Extra;4,3;63;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TS-63/I;TARCICA SOSNA;I;4,3;63;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TS-63/II;TARCICA SOSNA;II;4,3;63;-;-;-;1;-;-;-;-;940,00 zｳ
;TS-63/III;TARCICA SOSNA;III;4,3;63;-;-;-;1;-;-;-;-;750,00 zｳ
;TS-76/E;TARCICA SOSNA;Extra;4,3;76;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TS-76/I;TARCICA SOSNA;I;4,3;76;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TS-76/II;TARCICA SOSNA;II;4,3;76;-;-;-;1;-;-;-;-;940,00 zｳ
;TS-76/III;TARCICA SOSNA;III;4,3;76;-;-;-;1;-;-;-;-;750,00 zｳ
;TBR-28/E;TARCICA BRZOZA;Extra;2,5-3;28;-;-;-;1;-;-;-;-;1 620,00 zｳ
;TBR-28/I;TARCICA BRZOZA;I;2,5-3;28;-;-;-;1;-;-;-;-;1 300,00 zｳ
;TBR-28/II;TARCICA BRZOZA;II;2,5-3;28;-;-;-;1;-;-;-;-;880,00 zｳ
;TBR-28/III;TARCICA BRZOZA;III;2,5-3;28;-;-;-;1;-;-;-;-;680,00 zｳ
;TBR-38/E;TARCICA BRZOZA;Extra;2,5-3;38;-;-;-;1;-;-;-;-;1 720,00 zｳ
;TBR-38/I;TARCICA BRZOZA;I;2,5-3;38;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TBR-38/II;TARCICA BRZOZA;II;2,5-3;38;-;-;-;1;-;-;-;-;900,00 zｳ
;TBR-38/III;TARCICA BRZOZA;III;2,5-3;38;-;-;-;1;-;-;-;-;680,00 zｳ
;TBR-50/E;TARCICA BRZOZA;Extra;2,5-3;50;-;-;-;1;-;-;-;-;1 720,00 zｳ
;TBR-50/I;TARCICA BRZOZA;I;2,5-3;50;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TBR-50/II;TARCICA BRZOZA;II;2,5-3;50;-;-;-;1;-;-;-;-;900,00 zｳ
;TBR-50/III;TARCICA BRZOZA;III;2,5-3;50;-;-;-;1;-;-;-;-;680,00 zｳ
;TO-28/E;TARCICA OLCHA;Extra;2,5-3;28;-;-;-;1;-;-;-;-;1 680,00 zｳ
;TO-28/I;TARCICA OLCHA;I;2,5-3;28;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TO-28/II;TARCICA OLCHA;II;2,5-3;28;-;-;-;1;-;-;-;-;990,00 zｳ
;TO-28/III;TARCICA OLCHA;III;2,5-3;28;-;-;-;1;-;-;-;-;700,00 zｳ
;TO-38/E;TARCICA OLCHA;Extra;2,5-3;38;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TO-38/I;TARCICA OLCHA;I;2,5-3;38;-;-;-;1;-;-;-;-;1 410,00 zｳ
;TO-38/II;TARCICA OLCHA;II;2,5-3;38;-;-;-;1;-;-;-;-;990,00 zｳ
;TO-38/III;TARCICA OLCHA;III;2,5-3;38;-;-;-;1;-;-;-;-;700,00 zｳ
;TO-38/T;TARCICA OLCHA;Twar.;2,5-3;38;-;-;-;1;-;-;-;-;780,00 zｳ
;TO-50/E;TARCICA OLCHA;Extra;2,5-3;50;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TO-50/I;TARCICA OLCHA;I;2,5-3;50;-;-;-;1;-;-;-;-;1 410,00 zｳ
;TO-50/II;TARCICA OLCHA;II;2,5-3;50;-;-;-;1;-;-;-;-;990,00 zｳ
;TO-50/III;TARCICA OLCHA;III;2,5-3;50;-;-;-;1;-;-;-;-;700,00 zｳ
;TO-50/T;TARCICA OLCHA;Twar.;2,5-3;50;-;-;-;1;-;-;-;-;780,00 zｳ
;TO-65/E;TARCICA OLCHA;Extra;2,5-3;65;-;-;-;1;-;-;-;-;1 780,00 zｳ
;TO-65/I;TARCICA OLCHA;I;2,5-3;65;-;-;-;1;-;-;-;-;1 410,00 zｳ
;TO-65/II;TARCICA OLCHA;II;2,5-3;65;-;-;-;1;-;-;-;-;990,00 zｳ
;TO-65/III;TARCICA OLCHA;III;2,5-3;65;-;-;-;1;-;-;-;-;700,00 zｳ
;TM-32/E;TARCICA MODRZEW;Extra;05-mar;32;-;-;-;1;-;-;-;-;2 100,00 zｳ
;TM-32/I;TARCICA MODRZEW;I;05-mar;32;-;-;-;1;-;-;-;-;1 680,00 zｳ
;TM-32/II;TARCICA MODRZEW;II;05-mar;32;-;-;-;1;-;-;-;-;1 080,00 zｳ
;TM-32/III;TARCICA MODRZEW;III;05-mar;32;-;-;-;1;-;-;-;-;780,00 zｳ
;TM-50/E;TARCICA MODRZEW;Extra;4;50;-;-;-;1;-;-;-;-;2 100,00 zｳ
;TM-50/I;TARCICA MODRZEW;I;4;50;-;-;-;1;-;-;-;-;1 680,00 zｳ
;TM-50/II;TARCICA MODRZEW;II;4;50;-;-;-;1;-;-;-;-;1 080,00 zｳ
;TM-50/III;TARCICA MODRZEW;III;4;50;-;-;-;1;-;-;-;-;780,00 zｳ
;TK-50/E;TARCICA KLON;Extra;2,5-3;50;-;-;-;1;-;-;-;-;3 390,00 zｳ
;TK-50/I;TARCICA KLON;I;2,5-3;50;-;-;-;1;-;-;-;-;2 850,00 zｳ
;TK-50/II;TARCICA KLON;II;2,5-3;50;-;-;-;1;-;-;-;-;1 980,00 zｳ
;TK-50/III;TARCICA KLON;III;2,5-3;50;-;-;-;1;-;-;-;-;1 350,00 zｳ
;TCZ-28/E;TARCICA CZERE君IA;Extra;2,5-3;28;-;-;-;1;-;-;-;-;3 650,00 zｳ
;TCZ-28/I;TARCICA CZERE君IA;I;2,5-3;28;-;-;-;1;-;-;-;-;2 950,00 zｳ
;TCZ-28/II;TARCICA CZERE君IA;II;2,5-3;28;-;-;-;1;-;-;-;-;2 150,00 zｳ
;TCZ-28/III;TARCICA CZERE君IA;III;2,5-3;28;-;-;-;1;-;-;-;-;1 350,00 zｳ
;TCZ-38/E;TARCICA CZERE君IA;Extra;2,5-3;38;-;-;-;1;-;-;-;-;3 650,00 zｳ
;TCZ-38/I;TARCICA CZERE君IA;I;2,5-3;38;-;-;-;1;-;-;-;-;3 950,00 zｳ
;TCZ-38/II;TARCICA CZERE君IA;II;2,5-3;38;-;-;-;1;-;-;-;-;2 150,00 zｳ
;TCZ-38/III;TARCICA CZERE君IA;III;2,5-3;38;-;-;-;1;-;-;-;-;1 350,00 zｳ
;TA-28/I;TARCICA AKACJA PARZONA;I;2-3,5;28;-;-;-;1;-;-;-;-;2 350,00 zｳ
;TA-28/II;TARCICA AKACJA PARZONA;II;2-3,5;28;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TA-28/III;TARCICA AKACJA PARZONA;III;2-3,5;28;-;-;-;1;-;-;-;-;1 250,00 zｳ
;TA-50/I;TARCICA AKACJA PARZONA;I;2,5-3;50;-;-;-;1;-;-;-;-;2 350,00 zｳ
;TA-50/II;TARCICA AKACJA PARZONA;II;2,5-3;50;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TA-50/III;TARCICA AKACJA PARZONA;III;2,5-3;50;-;-;-;1;-;-;-;-;1 250,00 zｳ
;;;;;;;;;;;;;;
WIﾊ州A DACHOWA SOSNA;TSN-25;TARCICA NIEIMPREGNOWANA;-;04-lut;25;-;-;-;1;-;-;-;-;550,00 zｳ
;TSI-25;TARCICA IMPREGNOWANA;-;04-lut;25;-;-;-;1;-;-;-;-;600,00 zｳ
;｣S;｣ATA;-;4;40;60;-;-;-;-;1;-;-;1,95 zｳ
;｣S;｣ATA;-;4;40;60;-;-;1;-;-;-;-;815,00 zｳ
;KS;KONTR｣ATA;-;04-lut;25;50;-;-;-;-;1;-;-;1,00 zｳ
;KS;KONTR｣ATA;-;04-lut;25;50;-;-;1;-;-;-;-;800,00 zｳ
;KRSN;KRAWﾊDZIAKI NIEIMPREGNOWANE;-;0-13;-;-;-;-;1;-;-;-;-;780,00 zｳ
;KRSI;KRAWﾊDZIAKI IMPREGNOWANE;-;0-13;-;-;-;-;1;-;-;-;-;800,00 zｳ
;BS-17;BOAZERIA;-;03-lut;17;90;-;-;-;1;-;-;-;29,50 zｳ
;BS-22;BOAZERIA;-;3;22;110;-;-;-;1;-;-;-;23,00 zｳ
;;;;;;;;;;;;;;
